Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-04-04 00:00:00+09:00,28213.9296875,28287.419921875,28139.119140625,28287.419921875,73300000,0.0,0.0
2023-04-05 00:00:00+09:00,28111.0390625,28133.5703125,27788.76953125,27813.259765625,74300000,0.0,0.0
2023-04-06 00:00:00+09:00,27589.140625,27609.859375,27427.66015625,27472.630859375,73200000,0.0,0.0
2023-04-07 00:00:00+09:00,27554.369140625,27591.150390625,27456.25,27518.310546875,49100000,0.0,0.0
2023-04-10 00:00:00+09:00,27658.51953125,27737.490234375,27597.1796875,27633.66015625,48000000,0.0,0.0
2023-04-11 00:00:00+09:00,27895.900390625,28068.390625,27854.8203125,27923.369140625,64800000,0.0,0.0
2023-04-12 00:00:00+09:00,27985.9296875,28121.4609375,27983.970703125,28082.69921875,62700000,0.0,0.0
2023-04-13 00:00:00+09:00,27952.580078125,28163.869140625,27952.009765625,28156.970703125,59900000,0.0,0.0
2023-04-14 00:00:00+09:00,28321.5390625,28515.509765625,28282.8203125,28493.470703125,72900000,0.0,0.0
2023-04-17 00:00:00+09:00,28537.990234375,28599.75,28414.98046875,28514.779296875,58000000,0.0,0.0
2023-04-18 00:00:00+09:00,28567.5390625,28698.220703125,28520.759765625,28658.830078125,62300000,0.0,0.0
2023-04-19 00:00:00+09:00,28619.83984375,28677.220703125,28531.5390625,28606.759765625,58000000,0.0,0.0
2023-04-20 00:00:00+09:00,28472.0,28694.25,28442.44921875,28657.5703125,56700000,0.0,0.0
2023-04-21 00:00:00+09:00,28590.55078125,28778.369140625,28527.80078125,28564.369140625,61400000,0.0,0.0
2023-04-24 00:00:00+09:00,28631.779296875,28680.650390625,28567.240234375,28593.51953125,50000000,0.0,0.0
2023-04-25 00:00:00+09:00,28697.73046875,28806.689453125,28609.76953125,28620.0703125,59300000,0.0,0.0
2023-04-26 00:00:00+09:00,28478.51953125,28551.609375,28319.76953125,28416.470703125,68700000,0.0,0.0
2023-04-27 00:00:00+09:00,28340.58984375,28459.73046875,28241.669921875,28457.6796875,73600000,0.0,0.0
2023-04-28 00:00:00+09:00,28705.91015625,28879.240234375,28499.509765625,28856.439453125,104000000,0.0,0.0
2023-05-01 00:00:00+09:00,29058.05078125,29145.890625,29016.830078125,29123.1796875,73400000,0.0,0.0
2023-05-02 00:00:00+09:00,29278.80078125,29278.80078125,29083.130859375,29157.94921875,63900000,0.0,0.0
2023-05-08 00:00:00+09:00,29095.4609375,29144.119140625,28931.810546875,28949.880859375,74100000,0.0,0.0
2023-05-09 00:00:00+09:00,29020.630859375,29262.359375,29020.630859375,29242.8203125,86400000,0.0,0.0
2023-05-10 00:00:00+09:00,29189.41015625,29195.16015625,29070.109375,29122.1796875,87300000,0.0,0.0
2023-05-11 00:00:00+09:00,29110.7890625,29165.58984375,29028.7109375,29126.720703125,82200000,0.0,0.0
2023-05-12 00:00:00+09:00,29199.30078125,29426.060546875,29141.51953125,29388.30078125,106100000,0.0,0.0
2023-05-15 00:00:00+09:00,29547.0390625,29629.470703125,29475.970703125,29626.33984375,88600000,0.0,0.0
2023-05-16 00:00:00+09:00,29838.009765625,29916.560546875,29779.0703125,29842.990234375,107400000,0.0,0.0
2023-05-17 00:00:00+09:00,29912.439453125,30115.3203125,29912.439453125,30093.58984375,93100000,0.0,0.0
2023-05-18 00:00:00+09:00,30432.5390625,30667.130859375,30381.900390625,30573.9296875,90500000,0.0,0.0
2023-05-19 00:00:00+09:00,30847.359375,30924.5703125,30679.16015625,30808.349609375,80500000,0.0,0.0
2023-05-22 00:00:00+09:00,30735.7109375,31086.8203125,30689.26953125,31086.8203125,75400000,0.0,0.0
2023-05-23 00:00:00+09:00,31245.720703125,31352.529296875,30828.73046875,30957.76953125,92200000,0.0,0.0
2023-05-24 00:00:00+09:00,30728.689453125,30856.919921875,30566.830078125,30682.6796875,81700000,0.0,0.0
2023-05-25 00:00:00+09:00,30599.26953125,30889.98046875,30558.140625,30801.130859375,84000000,0.0,0.0
2023-05-26 00:00:00+09:00,30909.609375,31101.599609375,30864.490234375,30916.310546875,78300000,0.0,0.0
2023-05-29 00:00:00+09:00,31388.009765625,31560.4296875,31164.0,31233.5390625,78300000,0.0,0.0
2023-05-30 00:00:00+09:00,31196.240234375,31374.830078125,31064.189453125,31328.16015625,71800000,0.0,0.0
2023-05-31 00:00:00+09:00,31057.08984375,31142.779296875,30785.98046875,30887.880859375,184600000,0.0,0.0
2023-06-01 00:00:00+09:00,30886.009765625,31185.05078125,30853.439453125,31148.009765625,95100000,0.0,0.0
2023-06-02 00:00:00+09:00,31300.720703125,31555.5390625,31257.009765625,31524.220703125,90700000,0.0,0.0
2023-06-05 00:00:00+09:00,31864.119140625,32217.4296875,31798.720703125,32217.4296875,98800000,0.0,0.0
2023-06-06 00:00:00+09:00,31988.369140625,32534.470703125,31933.869140625,32506.779296875,82500000,0.0,0.0
2023-06-07 00:00:00+09:00,32618.779296875,32708.529296875,31913.740234375,31913.740234375,111900000,0.0,0.0
2023-06-08 00:00:00+09:00,31877.7890625,32035.94921875,31420.44921875,31641.26953125,86000000,0.0,0.0
2023-06-09 00:00:00+09:00,31927.380859375,32304.0390625,31898.75,32265.169921875,101500000,0.0,0.0
2023-06-12 00:00:00+09:00,32412.119140625,32517.6796875,32280.5390625,32434.0,68700000,0.0,0.0
2023-06-13 00:00:00+09:00,32668.94921875,33127.359375,32638.2109375,33018.6484375,89500000,0.0,0.0
2023-06-14 00:00:00+09:00,33331.46875,33665.51953125,33203.94921875,33502.421875,111600000,0.0,0.0
2023-06-15 00:00:00+09:00,33493.69140625,33767.12890625,33386.01171875,33485.48828125,105800000,0.0,0.0
2023-06-16 00:00:00+09:00,33399.1484375,33772.76171875,33186.9296875,33706.078125,132000000,0.0,0.0
2023-06-19 00:00:00+09:00,33768.69140625,33772.890625,33231.55859375,33370.421875,82900000,0.0,0.0
2023-06-20 00:00:00+09:00,33269.5703125,33474.73828125,33089.01953125,33388.91015625,82400000,0.0,0.0
2023-06-21 00:00:00+09:00,33200.62890625,33657.87109375,33154.6796875,33575.140625,82000000,0.0,0.0
